Type,Pattern
Bigram,lq
Bigram,vl
Bigram,xn
Bigram,pj
Bigram,cw
Bigram,dz
Bigram,zr
Bigram,bk
Bigram,kq
Bigram,qe
Bigram,xx
Bigram,vp
Bigram,yj
Bigram,fc
Bigram,gk
Bigram,zm
Bigram,xm
Bigram,jn
Bigram,fj
Bigram,ww
Bigram,gv
Bigram,qv
Bigram,vt
Bigram,fp
Bigram,zw
Bigram,wg
Bigram,bf
Bigram,cv
Bigram,vv
Bigram,xs
Bigram,yq
Bigram,vc
Bigram,vn
Bigram,vz
Bigram,xb
Bigram,zs
Bigram,cj
Bigram,js
Bigram,uw
Bigram,pv
Bigram,zf
Bigram,zq
Bigram,sj
Bigram,pq
Bigram,qw
Bigram,zt
Bigram,xv
Bigram,kv
Bigram,yy
Bigram,xg
Bigram,qn
Bigram,jy
Bigram,gz
Bigram,wz
Bigram,hj
Bigram,sx
Bigram,jk
Bigram,fk
Bigram,tj
Trigram,urw
Trigram,pye
Trigram,tsf
Trigram,dgr
Trigram,olq
Trigram,lqu
Trigram,bex
Trigram,xar
Trigram,rmb
Trigram,mby
Trigram,ndv
Trigram,idm
Trigram,bpo
Trigram,bpe
Trigram,aed
Trigram,tpa
Trigram,kse
Trigram,mip
Trigram,lup
Trigram,eko
Trigram,acd
Trigram,rsw
Trigram,pfa
Trigram,faf
Trigram,ayu
Trigram,yun
Trigram,udr
Trigram,ghf
Trigram,hfa
Trigram,dga
Trigram,ypa
Trigram,tcu
Trigram,nsb
Trigram,lkw
Trigram,tnt
Trigram,edv
Trigram,iua
Trigram,kiw
Trigram,uep
Trigram,ffm
Trigram,ulw
Trigram,gfi
Trigram,wse
Trigram,erz
Trigram,zog
Trigram,sny
Trigram,nyd
Trigram,rrs
Trigram,oyt
Trigram,acp
Trigram,ldd
Trigram,lsl
Trigram,kub
Trigram,bek
Trigram,gba
Trigram,udm
Trigram,cso
Trigram,esz
Trigram,lsu
Trigram,bne
Trigram,swc
Trigram,ruo
Trigram,uon
Trigram,mcd
Trigram,cda
Trigram,sik
Trigram,ftf
Trigram,avl
Trigram,vle
Trigram,wym
Trigram,ogd
Trigram,gde
Trigram,wsm
Trigram,lko
Trigram,zoe
Trigram,eyh
Trigram,ehf
Trigram,mez
Trigram,wsa
Trigram,cbs
Trigram,yog
Trigram,oey
Trigram,fiz
Trigram,bem
Trigram,kok
Trigram,pix
Trigram,zom
Trigram,uef
Trigram,dey
Trigram,anj
Trigram,ntz
Trigram,ucs
Trigram,pof
Trigram,oeg
Trigram,uec
Trigram,boe
Trigram,oeh
Trigram,ehm
Trigram,zzu
Trigram,zut
Trigram,jop
Trigram,lss
Trigram,etk
Trigram,tka
Trigram,huz
Trigram,zah
Trigram,gug
Trigram,kak
Trigram,hby
Trigram,euk
Trigram,kmi
Trigram,emc
Trigram,jot
Trigram,hmp
Trigram,mpf
Trigram,yod
Trigram,uhl
Trigram,dpa
Trigram,nax
Trigram,cde
Trigram,tsy
Trigram,bld
Trigram,ldg
Trigram,mpb
Trigram,mro
Trigram,oxw
Trigram,xwo
Trigram,oxn
Trigram,xna
Trigram,mcr
Trigram,vep
Trigram,msm
Trigram,yfa
Trigram,ywe
Trigram,tzh
Trigram,zhu
Trigram,apn
Trigram,kau
Trigram,ufn
Trigram,fna
Trigram,zei
Trigram,lyd
Trigram,smy
Trigram,sah
Trigram,gsd
Trigram,ehn
Trigram,aae
Trigram,aek
Trigram,cmd
Trigram,mdr
Trigram,cge
